threshold,match_rate,readable_rate,auto_validation_rate,auto_validation_precision,auto_validation_error_rate,review_rate,no_detection_rate,correct_but_reviewed_rate,valid_count,valid_correct,valid_incorrect,review_count,no_detection_count
0.5,0.8267,0.9267,0.9167,0.8945,0.1055,0.0167,0.0667,0.0067,275,246,29,5,20
0.55,0.8267,0.9267,0.9133,0.8978,0.1022,0.02,0.0667,0.0067,274,246,28,6,20
0.6,0.8267,0.9267,0.8967,0.8996,0.1004,0.0367,0.0667,0.02,269,242,27,11,20
0.65,0.8267,0.9267,0.88,0.9015,0.0985,0.0533,0.0667,0.0333,264,238,26,16,20
0.7,0.8267,0.9267,0.8333,0.904,0.096,0.1,0.0667,0.0733,250,226,24,30,20
0.75,0.8267,0.9267,0.7033,0.9147,0.0853,0.23,0.0667,0.1833,211,193,18,69,20
0.8,0.8267,0.9267,0.5333,0.9062,0.0938,0.4,0.0667,0.3433,160,145,15,120,20
0.85,0.8267,0.9267,0.31,0.9032,0.0968,0.6233,0.0667,0.5467,93,84,9,187,20
0.9,0.8267,0.9267,0.0867,0.8846,0.1154,0.8467,0.0667,0.75,26,23,3,254,20
0.95,0.8267,0.9267,0.0,,,0.9333,0.0667,0.8267,0,0,0,280,20
